Declined	Declination	Number	Gender	Word	Translation	State	End	Case
matki	Genitive	Singular	Feminine	matka	mother	Impersonal	-a	k-
książki	Genitive	Singular	Feminine	książka	book	Impersonal	-a	k-
muzyki	Genitive	Singular	Feminine	muzyka	music		-a	k-
córki	Genitive	Singular	Feminine	córka	daughter	Impersonal	-a	k-
kanapki	Genitive	Singular	Feminine	kanapka	sandwich	Impersonal	-a	k-
łyżki	Genitive	Singular	Feminine	łyżka	spoon	Impersonal	-a	k-
lodówki	Genitive	Singular	Feminine	lodówka	fridge	Impersonal	-a	k-
sukienki	Genitive	Singular	Feminine	sukienka	dress	Impersonal	-a	k-
kaczki	Genitive	Singular	Feminine	kaczka	duck		-a	k-
łazienki	Genitive	Singular	Feminine	łazienka	bathroom	Impersonal	-a	k-
niedzieli	Dative	Singular	Feminine	niedziela	sunday	Impersonal	-a	l-
koszuli	Dative	Singular	Feminine	koszula	shirt	Impersonal	-a	l-
niedzieli	Genitive	Singular	Feminine	niedziela	sunday	Impersonal	-a	l-
koszuli	Genitive	Singular	Feminine	koszula	shirt	Impersonal	-a	l-
niedzieli	Locative	Singular	Feminine	niedziela	sunday	Impersonal	-a	l-
koszuli	Locative	Singular	Feminine	koszula	shirt	Impersonal	-a	l-
siostrze	Dative	Singular	Feminine	siostra	sister	Impersonal	-a	r-
siostrze	Locative	Singular	Feminine	siostra	sister	Impersonal	-a	r-
babci	Genitive	Singular	Feminine	babcia	grandmother	Impersonal	-a	Ś-
cioci	Genitive	Singular	Feminine	ciocia	aunt	Impersonal	-a	Ś-
patelni	Genitive	Singular	Feminine	patelnia	pan		-a	Ś-
kuchni	Genitive	Singular	Feminine	kuchnia	kitchen	Impersonal	-a	Ś-
myszy	Genitive	Plural	Feminine	mysz	mouse		-S	-S
myszami	Instrumental	Plural	Feminine	mysz	mouse		-S	-S
myszach	Locative	Plural	Feminine	mysz	mouse		-S	-S
noce	Accusative	Plural	Feminine	noc	night	Impersonal	-S	-S
nocy	Genitive	Plural	Feminine	noc	night		-S	-S
nocami	Instrumental	Plural	Feminine	noc	night		-S	-S
nocach	Locative	Plural	Feminine	noc	night		-S	-S
liczby	Nominative	Plural	Feminine	liczba	number	Impersonal	-a	*
stopy	Accusative	Plural	Feminine	stopa	foot	Impersonal	-a	*
stopom	Dative	Plural	Feminine	stopa	foot	Impersonal	-a	*
stóp	Genitive	Plural	Feminine	stopa	foot	Impersonal	-a	*
stopami	Instrumental	Plural	Feminine	stopa	foot	Impersonal	-a	*
stopach	Locative	Plural	Feminine	stopa	foot	Impersonal	-a	*
ryby	Nominative	Plural	Feminine	ryba	fish	Impersonal	-a	*
rękom	Dative	Plural	Feminine	ręka	hand	Impersonal	-a	*
rąk	Genitive	Plural	Feminine	ręka	hand	Impersonal	-a	*
rękami	Instrumental	Plural	Feminine	ręka	hand	Impersonal	-a	*
rękach	Locative	Plural	Feminine	ręka	hand	Impersonal	-a	*
ziemiom	Dative	Plural	Feminine	ziemia	Earth	Impersonal	-a	*
ziemiami	Instrumental	Plural	Feminine	ziemia	Earth	Impersonal	-a	*
ziemiach	Locative	Plural	Feminine	ziemia	Earth	Impersonal	-a	*
matkom	Dative	Plural	Feminine	matka	mother	Impersonal	-a	*
matkami	Instrumental	Plural	Feminine	matka	mother	Impersonal	-a	*
matkach	Locative	Plural	Feminine	matka	mother	Impersonal	-a	*
pracom	Dative	Plural	Feminine	praca	work	Impersonal	-a	*
prac	Genitive	Plural	Feminine	praca	work	Impersonal	-a	*
pracami	Instrumental	Plural	Feminine	praca	work	Impersonal	-a	*
pracach	Locative	Plural	Feminine	praca	work	Impersonal	-a	*
liczby	Accusative	Plural	Feminine	liczba	number	Impersonal	-a	*
liczbom	Dative	Plural	Feminine	liczba	number	Impersonal	-a	*
liczb	Genitive	Plural	Feminine	liczba	number	Impersonal	-a	*
liczbami	Instrumental	Plural	Feminine	liczba	number	Impersonal	-a	*
liczbach	Locative	Plural	Feminine	liczba	number	Impersonal	-a	*
próby	Nominative	Plural	Feminine	próba	test	Impersonal	-a	*
wody	Accusative	Plural	Feminine	woda	water	Impersonal	-a	*
wodom	Dative	Plural	Feminine	woda	water	Impersonal	-a	*
wód	Genitive	Plural	Feminine	woda	water	Impersonal	-a	*
wodami	Instrumental	Plural	Feminine	woda	water	Impersonal	-a	*
wodach	Locative	Plural	Feminine	woda	water	Impersonal	-a	*
prace	Nominative	Plural	Feminine	praca	work	Impersonal	-a	S-
herbaty	Accusative	Plural	Feminine	herbata	tea	Impersonal	-a	*
kawy	Accusative	Plural	Feminine	kawa	coffee	Impersonal	-a	*
mamy	Accusative	Plural	Feminine	mama	mom	Impersonal	-a	*
ryby	Accusative	Plural	Feminine	ryba	fish	Impersonal	-a	*
zupy	Accusative	Plural	Feminine	zupa	soup	Impersonal	-a	*
babciom	Dative	Plural	Feminine	babcia	grandmother	Impersonal	-a	*
ciociom	Dative	Plural	Feminine	ciocia	aunt	Impersonal	-a	*
drogom	Dative	Plural	Feminine	droga	road		-a	*
herbatom	Dative	Plural	Feminine	herbata	tea	Impersonal	-a	*
kawom	Dative	Plural	Feminine	kawa	coffee	Impersonal	-a	*
mamom	Dative	Plural	Feminine	mama	mom	Impersonal	-a	*
rybom	Dative	Plural	Feminine	ryba	fish	Impersonal	-a	*
zupom	Dative	Plural	Feminine	zupa	soup	Impersonal	-a	*
myszom	Dative	Plural	Feminine	mysz	mouse		-S	*
dróg	Genitive	Plural	Feminine	droga	road		-a	*
herbat	Genitive	Plural	Feminine	herbata	tea	Impersonal	-a	*
kaw	Genitive	Plural	Feminine	kawa	coffee	Impersonal	-a	*
mam	Genitive	Plural	Feminine	mama	mom	Impersonal	-a	*
ryb	Genitive	Plural	Feminine	ryba	fish	Impersonal	-a	*
zup	Genitive	Plural	Feminine	zupa	soup	Impersonal	-a	*
babciami	Instrumental	Plural	Feminine	babcia	grandmother	Impersonal	-a	*
ciociami	Instrumental	Plural	Feminine	ciocia	aunt	Impersonal	-a	*
drogami	Instrumental	Plural	Feminine	droga	road		-a	*
herbatami	Instrumental	Plural	Feminine	herbata	tea	Impersonal	-a	*
kawami	Instrumental	Plural	Feminine	kawa	coffee	Impersonal	-a	*
mamami	Instrumental	Plural	Feminine	mama	mom	Impersonal	-a	*
rybami	Instrumental	Plural	Feminine	ryba	fish	Impersonal	-a	*
zupami	Instrumental	Plural	Feminine	zupa	soup	Impersonal	-a	*
babciach	Locative	Plural	Feminine	babcia	grandmother	Impersonal	-a	*
ciociach	Locative	Plural	Feminine	ciocia	aunt	Impersonal	-a	*
drogach	Locative	Plural	Feminine	droga	road		-a	*
herbatach	Locative	Plural	Feminine	herbata	tea	Impersonal	-a	*
kawach	Locative	Plural	Feminine	kawa	coffee	Impersonal	-a	*
mamach	Locative	Plural	Feminine	mama	mom	Impersonal	-a	*
rybach	Locative	Plural	Feminine	ryba	fish	Impersonal	-a	*
zupach	Locative	Plural	Feminine	zupa	soup	Impersonal	-a	*
ulice	Nominative	Plural	Feminine	ulica	street	Impersonal	-a	S-
wody	Nominative	Plural	Feminine	woda	water	Impersonal	-a	*
pogody	Nominative	Plural	Feminine	pogoda	weather	Impersonal	-a	*
prawdy	Nominative	Plural	Feminine	prawda	truth	Impersonal	-a	*
windy	Nominative	Plural	Feminine	winda	lift	Impersonal	-a	*
głowy	Accusative	Plural	Feminine	głowa	head	Impersonal	-a	*
głowom	Dative	Plural	Feminine	głowa	head	Impersonal	-a	*
głów	Genitive	Plural	Feminine	głowa	head	Impersonal	-a	*
głowami	Instrumental	Plural	Feminine	głowa	head	Impersonal	-a	*
głowach	Locative	Plural	Feminine	głowa	head	Impersonal	-a	*
gwiazdy	Nominative	Plural	Feminine	gwiazda	star	Impersonal	-a	*
szkoły	Accusative	Plural	Feminine	szkoła	school	Impersonal	-a	*
szkołom	Dative	Plural	Feminine	szkoła	school	Impersonal	-a	*
szkół	Genitive	Plural	Feminine	szkoła	school	Impersonal	-a	*
szkołami	Instrumental	Plural	Feminine	szkoła	school	Impersonal	-a	*
szkołach	Locative	Plural	Feminine	szkoła	school	Impersonal	-a	*
drogi	Nominative	Plural	Feminine	droga	road		-a	g-
nocom	Dative	Plural	Feminine	noc	night		-S	*
książkom	Dative	Plural	Feminine	książka	book	Impersonal	-a	*
książkami	Instrumental	Plural	Feminine	książka	book	Impersonal	-a	*
książkach	Locative	Plural	Feminine	książka	book	Impersonal	-a	*
córkom	Dative	Plural	Feminine	córka	daughter	Impersonal	-a	*
kanapkom	Dative	Plural	Feminine	kanapka	sandwich	Impersonal	-a	*
łyżkom	Dative	Plural	Feminine	łyżka	spoon	Impersonal	-a	*
córkami	Instrumental	Plural	Feminine	córka	daughter	Impersonal	-a	*
kanapkami	Instrumental	Plural	Feminine	kanapka	sandwich	Impersonal	-a	*
łyżkami	Instrumental	Plural	Feminine	łyżka	spoon	Impersonal	-a	*
córkach	Locative	Plural	Feminine	córka	daughter	Impersonal	-a	*
kanapkach	Locative	Plural	Feminine	kanapka	sandwich	Impersonal	-a	*
łyżkach	Locative	Plural	Feminine	łyżka	spoon	Impersonal	-a	*
dziewczyny	Accusative	Plural	Feminine	dziewczyna	girl	Impersonal	-a	*
dziewczynom	Dative	Plural	Feminine	dziewczyna	girl	Impersonal	-a	*
dziewczyn	Genitive	Plural	Feminine	dziewczyna	girl	Impersonal	-a	*
dziewczynami	Instrumental	Plural	Feminine	dziewczyna	girl	Impersonal	-a	*
dziewczynach	Locative	Plural	Feminine	dziewczyna	girl	Impersonal	-a	*
wagi	Nominative	Plural	Feminine	waga	weight	Impersonal	-a	g-
rodziny	Accusative	Plural	Feminine	rodzina	family	Impersonal	-a	*
rodzinom	Dative	Plural	Feminine	rodzina	family	Impersonal	-a	*
rodzin	Genitive	Plural	Feminine	rodzina	family	Impersonal	-a	*
rodzinami	Instrumental	Plural	Feminine	rodzina	family	Impersonal	-a	*
rodzinach	Locative	Plural	Feminine	rodzina	family	Impersonal	-a	*
ziemie	Nominative	Plural	Feminine	ziemia	Earth	Impersonal	-a	i-
ulicom	Dative	Plural	Feminine	ulica	street	Impersonal	-a	*
ulic	Genitive	Plural	Feminine	ulica	street	Impersonal	-a	*
ulicami	Instrumental	Plural	Feminine	ulica	street	Impersonal	-a	*
ulicach	Locative	Plural	Feminine	ulica	street	Impersonal	-a	*
lampy	Accusative	Plural	Feminine	lampa	lamp	Impersonal	-a	*
lampom	Dative	Plural	Feminine	lampa	lamp		-a	*
niedzielom	Dative	Plural	Feminine	niedziela	sunday	Impersonal	-a	*
patelniom	Dative	Plural	Feminine	patelnia	pan		-a	*
koszulom	Dative	Plural	Feminine	koszula	shirt	Impersonal	-a	*
lodówkom	Dative	Plural	Feminine	lodówka	fridge	Impersonal	-a	*
spodniom	Dative	Plural	Feminine	spodnie	trousers		-e	*
lamp	Genitive	Plural	Feminine	lampa	lamp		-a	*
niedziel	Genitive	Plural	Feminine	niedziela	sunday	Impersonal	-a	*
koszul	Genitive	Plural	Feminine	koszula	shirt	Impersonal	-a	*
spodniami	Instrumental	Plural	Feminine	spodnie	trousers		-e	*
lampami	Instrumental	Plural	Feminine	lampa	lamp		-a	*
niedzielami	Instrumental	Plural	Feminine	niedziela	sunday	Impersonal	-a	*
patelniami	Instrumental	Plural	Feminine	patelnia	pan		-a	*
koszulami	Instrumental	Plural	Feminine	koszula	shirt	Impersonal	-a	*
lodówkami	Instrumental	Plural	Feminine	lodówka	fridge	Impersonal	-a	*
spodniach	Locative	Plural	Feminine	spodnie	trousers		-e	*
lampach	Locative	Plural	Feminine	lampa	lamp		-a	*
niedzielach	Locative	Plural	Feminine	niedziela	sunday	Impersonal	-a	*
patelniach	Locative	Plural	Feminine	patelnia	pan		-a	*
koszulach	Locative	Plural	Feminine	koszula	shirt	Impersonal	-a	*
lodówkach	Locative	Plural	Feminine	lodówka	fridge	Impersonal	-a	*
babcie	Nominative	Plural	Feminine	babcia	grandmother	Impersonal	-a	i-
zimy	Accusative	Plural	Feminine	zima	winter	Impersonal	-a	*
zimom	Dative	Plural	Feminine	zima	winter	Impersonal	-a	*
zim	Genitive	Plural	Feminine	zima	winter	Impersonal	-a	*
zimami	Instrumental	Plural	Feminine	zima	winter	Impersonal	-a	*
zimach	Locative	Plural	Feminine	zima	winter	Impersonal	-a	*
ciocie	Nominative	Plural	Feminine	ciocia	aunt	Impersonal	-a	i-
sukienkom	Dative	Plural	Feminine	sukienka	dress	Impersonal	-a	*
sukienkami	Instrumental	Plural	Feminine	sukienka	dress	Impersonal	-a	*
sukienkach	Locative	Plural	Feminine	sukienka	dress	Impersonal	-a	*
kobiety	Accusative	Plural	Feminine	kobieta	woman	Impersonal	-a	*
kobietom	Dative	Plural	Feminine	kobieta	woman		-a	*
kobiet	Genitive	Plural	Feminine	kobieta	woman		-a	*
kobietami	Instrumental	Plural	Feminine	kobieta	woman		-a	*
kobietach	Locative	Plural	Feminine	kobieta	woman		-a	*
patelnie	Nominative	Plural	Feminine	patelnia	pan	Impersonal	-a	i-
kaczkom	Dative	Plural	Feminine	kaczka	duck		-a	*
kaczkami	Instrumental	Plural	Feminine	kaczka	duck		-a	*
kaczkach	Locative	Plural	Feminine	kaczka	duck		-a	*
siostry	Accusative	Plural	Feminine	siostra	sister	Impersonal	-a	*
siostrom	Dative	Plural	Feminine	siostra	sister	Impersonal	-a	*
sióstr	Genitive	Plural	Feminine	siostra	sister	Impersonal	-a	*
siostrami	Instrumental	Plural	Feminine	siostra	sister	Impersonal	-a	*
siostrach	Locative	Plural	Feminine	siostra	sister	Impersonal	-a	*
kuchnie	Nominative	Plural	Feminine	kuchnia	kitchen	Impersonal	-a	i-
kuchniom	Dative	Plural	Feminine	kuchnia	kitchen	Impersonal	-a	*
pomarańczom	Dative	Plural	Feminine	pomarańcza	orange	Impersonal	-a	*
łazienkom	Dative	Plural	Feminine	łazienka	bathroom	Impersonal	-a	*
kuchniami	Instrumental	Plural	Feminine	kuchnia	kitchen	Impersonal	-a	*
pomarańczami	Instrumental	Plural	Feminine	pomarańcza	orange	Impersonal	-a	*
łazienkami	Instrumental	Plural	Feminine	łazienka	bathroom	Impersonal	-a	*
kuchniach	Locative	Plural	Feminine	kuchnia	kitchen	Impersonal	-a	*
pomarańczach	Locative	Plural	Feminine	pomarańcza	orange	Impersonal	-a	*
łazienkach	Locative	Plural	Feminine	łazienka	bathroom	Impersonal	-a	*
myszy	Accusative	Plural	Feminine	mysz	mouse	Impersonal	-S	Exception
sypialnie	Nominative	Plural	Feminine	sypialnia	bedroom	Impersonal	-a	i-
pomarańczy	Genitive	Plural	Feminine	pomarańcza	orange	Impersonal	-a	Exception
drogi	Accusative	Plural	Feminine	droga	road		-a	g-
świnie	Nominative	Plural	Feminine	świnia	pig	Impersonal	-a	i-
ziemie	Accusative	Plural	Feminine	ziemia	Earth	Impersonal	-a	i-
historie	Nominative	Plural	Feminine	historia	history	Impersonal	-a	i-
babcie	Accusative	Plural	Feminine	babcia	grandmother	Impersonal	-a	i-
ciocie	Accusative	Plural	Feminine	ciocia	aunt	Impersonal	-a	i-
pustynie	Nominative	Plural	Feminine	pustynia	desert	Impersonal	-a	i-
armie	Nominative	Plural	Feminine	armia	army	Impersonal	-a	i-
patelnie	Accusative	Plural	Feminine	patelnia	pan	Impersonal	-a	i-
awarie	Nominative	Plural	Feminine	awaria	accident	Impersonal	-a	i-
kuchnie	Accusative	Plural	Feminine	kuchnia	kitchen	Impersonal	-a	i-
bakterie	Nominative	Plural	Feminine	bakteria	bacteria	Impersonal	-a	i-
biologie	Nominative	Plural	Feminine	biologia	biology	Impersonal	-a	i-
komedie	Nominative	Plural	Feminine	komedia	comedy	Impersonal	-a	i-
córki	Accusative	Plural	Feminine	córka	daughter	Impersonal	-a	k-
kanapki	Accusative	Plural	Feminine	kanapka	sandwich	Impersonal	-a	k-
łyżki	Accusative	Plural	Feminine	łyżka	spoon	Impersonal	-a	k-
nianie	Nominative	Plural	Feminine	niania	nanny	Impersonal	-a	i-
teorie	Nominative	Plural	Feminine	teoria	theory	Impersonal	-a	i-
magie	Nominative	Plural	Feminine	magia	magic	Impersonal	-a	i-
lodówki	Accusative	Plural	Feminine	lodówka	fridge	Impersonal	-a	k-
strategie	Nominative	Plural	Feminine	strategia	strategy	Impersonal	-a	i-
sukienki	Accusative	Plural	Feminine	sukienka	dress	Impersonal	-a	k-
zbrodnie	Nominative	Plural	Feminine	zbrodnia	crime	Impersonal	-a	i-
kaczki	Accusative	Plural	Feminine	kaczka	duck	Impersonal	-a	k-
anomalie	Nominative	Plural	Feminine	anomalia	anomaly	Impersonal	-a	i-
łazienki	Accusative	Plural	Feminine	łazienka	bathroom	Impersonal	-a	k-
fobie	Nominative	Plural	Feminine	fobia	phobia	Impersonal	-a	i-
spodnie	Accusative	Plural	Feminine	spodnie	trousers		-e	No singular
Francje	Nominative	Plural	Feminine	Francja	France	Impersonal	-a	j-
matki	Accusative	Plural	Feminine	matka	mother	Impersonal	-a	Ᵽ: -Ś (exception)
książki	Accusative	Plural	Feminine	książka	book	Impersonal	-a	Ᵽ: k-
prace	Accusative	Plural	Feminine	praca	work	Impersonal	-a	S-
kolacje	Nominative	Plural	Feminine	kolacja	supper	Impersonal	-a	j-
ulice	Accusative	Plural	Feminine	ulica	street	Impersonal	-a	S-
policje	Nominative	Plural	Feminine	policja	Police	Impersonal	-a	j-
niedziele	Accusative	Plural	Feminine	niedziela	sunday	Impersonal	-a	S-
koszule	Accusative	Plural	Feminine	koszula	shirt	Impersonal	-a	S-
fuksje	Nominative	Plural	Feminine	fuksja	fuchsia	Impersonal	-a	j-
restauracje	Nominative	Plural	Feminine	restauracja	restaurant	Impersonal	-a	j-
pomarańcze	Accusative	Plural	Feminine	pomarańcza	orange	Impersonal	-a	S-
eksplozje	Nominative	Plural	Feminine	eksplozja	explosion	Impersonal	-a	j-
patelni	Genitive	Plural	Feminine	patelnia	pan		-a	Ś-
spodni	Genitive	Plural	Feminine	spodnie	trousers		-e	Ś-
kuchni	Genitive	Plural	Feminine	kuchnia	kitchen	Impersonal	-a	Ś-
drodze	Dative	Singular	Feminine	droga	road		-a	g-
drodze	Locative	Singular	Feminine	droga	road		-a	g-
ręce	Dative	Singular	Feminine	ręka	hand	Impersonal	-a	k-
ręce	Locative	Singular	Feminine	ręka	hand	Impersonal	-a	k-
matce	Dative	Singular	Feminine	matka	mother	Impersonal	-a	k-
matce	Locative	Singular	Feminine	matka	mother	Impersonal	-a	k-
książce	Dative	Singular	Feminine	książka	book	Impersonal	-a	k-
książce	Locative	Singular	Feminine	książka	book	Impersonal	-a	k-
muzyce	Dative	Singular	Feminine	muzyka	music		-a	k-
muzyce	Locative	Singular	Feminine	muzyka	music		-a	k-
córce	Dative	Singular	Feminine	córka	daughter	Impersonal	-a	k-
kanapce	Dative	Singular	Feminine	kanapka	sandwich	Impersonal	-a	k-
łyżce	Dative	Singular	Feminine	łyżka	spoon	Impersonal	-a	k-
córce	Locative	Singular	Feminine	córka	daughter	Impersonal	-a	k-
kanapce	Locative	Singular	Feminine	kanapka	sandwich	Impersonal	-a	k-
łyżce	Locative	Singular	Feminine	łyżka	spoon	Impersonal	-a	k-
lodówce	Dative	Singular	Feminine	lodówka	fridge	Impersonal	-a	k-
lodówce	Locative	Singular	Feminine	lodówka	fridge	Impersonal	-a	k-
sukience	Dative	Singular	Feminine	sukienka	dress	Impersonal	-a	k-
sukience	Locative	Singular	Feminine	sukienka	dress	Impersonal	-a	k-
kaczce	Dative	Singular	Feminine	kaczka	duck		-a	k-
kaczce	Locative	Singular	Feminine	kaczka	duck		-a	k-
łazience	Dative	Singular	Feminine	łazienka	bathroom	Impersonal	-a	k-
łazience	Locative	Singular	Feminine	łazienka	bathroom	Impersonal	-a	k-
szkole	Dative	Singular	Feminine	szkoła	school	Impersonal	-a	ł-
szkole	Locative	Singular	Feminine	szkoła	school	Impersonal	-a	ł-
herbacie	Dative	Singular	Feminine	herbata	tea	Impersonal	-a	t-
herbacie	Locative	Singular	Feminine	herbata	tea	Impersonal	-a	t-
kobiecie	Dative	Singular	Feminine	kobieta	woman		-a	t-
kobiecie	Locative	Singular	Feminine	kobieta	woman		-a	t-
ziem	Genitive	Plural	Feminine	ziemia	Earth	Impersonal	-a	Exception
matek	Genitive	Plural	Feminine	matka	mother	Impersonal	-a	k-
książek	Genitive	Plural	Feminine	książka	book	Impersonal	-a	k-
córek	Genitive	Plural	Feminine	córka	daughter	Impersonal	-a	k-
kanapek	Genitive	Plural	Feminine	kanapka	sandwich	Impersonal	-a	k-
łyżek	Genitive	Plural	Feminine	łyżka	spoon	Impersonal	-a	k-
lodówek	Genitive	Plural	Feminine	lodówka	fridge	Impersonal	-a	k-
sukienek	Genitive	Plural	Feminine	sukienka	dress	Impersonal	-a	k-
kaczek	Genitive	Plural	Feminine	kaczka	duck	Impersonal	-a	k-
łazienek	Genitive	Plural	Feminine	łazienka	bathroom	Impersonal	-a	k-
hipokryzje	Nominative	Plural	Feminine	hipokryzja	hypocrisy	Impersonal	-a	j-
ręce	Accusative	Plural	Feminine	ręka	hand	Impersonal	-a	Ᵽ: -*ec
babć	Genitive	Plural	Feminine	babcia	grandmother	Impersonal	-a	Ś-
cioć	Genitive	Plural	Feminine	ciocia	aunt	Impersonal	-a	Ś-
jedzenie	Accusative	Singular	Neutral	jedzenie	food	Impersonal	-e	*
jedzeniu	Dative	Singular	Neutral	jedzenie	food	Impersonal	-e	*
jedzenia	Genitive	Singular	Neutral	jedzenie	food	Impersonal	-e	*
jedzeniem	Instrumental	Singular	Neutral	jedzenie	food	Impersonal	-e	*
jedzeniu	Locative	Singular	Neutral	jedzenie	food	Impersonal	-e	*
słońce	Accusative	Singular	Neutral	słońce	sun	Impersonal	-e	*
słońcu	Dative	Singular	Neutral	słońce	sun	Impersonal	-e	*
słońca	Genitive	Singular	Neutral	słońce	sun	Impersonal	-e	*
słońcem	Instrumental	Singular	Neutral	słońce	sun	Impersonal	-e	*
słońcu	Locative	Singular	Neutral	słońce	sun	Impersonal	-e	*
oko	Accusative	Singular	Neutral	oko	eye	Impersonal	-o	*
oku	Dative	Singular	Neutral	oko	eye	Impersonal	-o	*
oka	Genitive	Singular	Neutral	oko	eye	Impersonal	-o	*
oku	Locative	Singular	Neutral	oko	eye	Impersonal	-o	*
miasto	Accusative	Singular	Neutral	miasto	city	Impersonal	-o	*
miastu	Dative	Singular	Neutral	miasto	city	Impersonal	-o	*
miasta	Genitive	Singular	Neutral	miasto	city	Impersonal	-o	*
miastem	Instrumental	Singular	Neutral	miasto	city	Impersonal	-o	*
morze	Accusative	Singular	Neutral	morze	sea		-e	*
morzu	Dative	Singular	Neutral	morze	sea		-e	*
morza	Genitive	Singular	Neutral	morze	sea		-e	*
morzem	Instrumental	Singular	Neutral	morze	sea		-e	*
morzu	Locative	Singular	Neutral	morze	sea		-e	*
biurko	Accusative	Singular	Neutral	biurko	desk		-o	*
szkło	Accusative	Singular	Neutral	szkło	glass		-o	*
warzywo	Accusative	Singular	Neutral	warzywo	vegetable	Impersonal	-o	*
biurku	Dative	Singular	Neutral	biurko	desk		-o	*
szkłu	Dative	Singular	Neutral	szkło	glass		-o	*
warzywu	Dative	Singular	Neutral	warzywo	vegetable	Impersonal	-o	*
biurka	Genitive	Singular	Neutral	biurko	desk		-o	*
szkła	Genitive	Singular	Neutral	szkło	glass		-o	*
warzywa	Genitive	Singular	Neutral	warzywo	vegetable	Impersonal	-o	*
szkłem	Instrumental	Singular	Neutral	szkło	glass		-o	*
warzywem	Instrumental	Singular	Neutral	warzywo	vegetable	Impersonal	-o	*
biurku	Locative	Singular	Neutral	biurko	desk		-o	*
pytanie	Accusative	Singular	Neutral	pytanie	question	Impersonal	-e	*
pytaniu	Dative	Singular	Neutral	pytanie	question	Impersonal	-e	*
pytania	Genitive	Singular	Neutral	pytanie	question	Impersonal	-e	*
pytaniem	Instrumental	Singular	Neutral	pytanie	question	Impersonal	-e	*
pytaniu	Locative	Singular	Neutral	pytanie	question	Impersonal	-e	*
rano	Accusative	Singular	Neutral	rano	morning	Impersonal	-o	*
ranu	Dative	Singular	Neutral	rano	morning	Impersonal	-o	*
rana	Genitive	Singular	Neutral	rano	morning	Impersonal	-o	*
ranem	Instrumental	Singular	Neutral	rano	morning	Impersonal	-o	*
śniadanie	Accusative	Singular	Neutral	śniadanie	breakfast	Impersonal	-e	*
zwierzę	Accusative	Singular	Neutral	zwierzę	animal		-ę	*
śniadaniu	Dative	Singular	Neutral	śniadanie	breakfast	Impersonal	-e	*
śniadania	Genitive	Singular	Neutral	śniadanie	breakfast	Impersonal	-e	*
śniadaniem	Instrumental	Singular	Neutral	śniadanie	breakfast	Impersonal	-e	*
śniadaniu	Locative	Singular	Neutral	śniadanie	breakfast	Impersonal	-e	*
łóżko	Accusative	Singular	Neutral	łóżko	bed		-o	*
łóżku	Dative	Singular	Neutral	łóżko	bed		-o	*
łóżka	Genitive	Singular	Neutral	łóżko	bed		-o	*
łóżku	Locative	Singular	Neutral	łóżko	bed		-o	*
jajko	Accusative	Singular	Neutral	jajko	egg	Impersonal	-o	*
jajku	Dative	Singular	Neutral	jajko	egg	Impersonal	-o	*
jajka	Genitive	Singular	Neutral	jajko	egg	Impersonal	-o	*
jajku	Locative	Singular	Neutral	jajko	egg	Impersonal	-o	*
ramię	Accusative	Singular	Neutral	ramię	arm	Impersonal	-ię	*
lato	Accusative	Singular	Neutral	lato	summer	Impersonal	-o	*
latu	Dative	Singular	Neutral	lato	summer	Impersonal	-o	*
lata	Genitive	Singular	Neutral	lato	summer	Impersonal	-o	*
latem	Instrumental	Singular	Neutral	lato	summer	Impersonal	-o	*
dziecko	Accusative	Singular	Neutral	dziecko	child	Impersonal	-o	*
dziecku	Dative	Singular	Neutral	dziecko	child	Impersonal	-o	*
dziecka	Genitive	Singular	Neutral	dziecko	child	Impersonal	-o	*
dziecku	Locative	Singular	Neutral	dziecko	child	Impersonal	-o	*
mleko	Accusative	Singular	Neutral	mleko	milk		-o	*
mleku	Dative	Singular	Neutral	mleko	milk		-o	*
mleka	Genitive	Singular	Neutral	mleko	milk		-o	*
mleku	Locative	Singular	Neutral	mleko	milk		-o	*
mięso	Accusative	Singular	Neutral	mięso	meat	Impersonal	-o	*
mięsu	Dative	Singular	Neutral	mięso	meat	Impersonal	-o	*
mięsa	Genitive	Singular	Neutral	mięso	meat	Impersonal	-o	*
mięsem	Instrumental	Singular	Neutral	mięso	meat	Impersonal	-o	*
jabłko	Accusative	Singular	Neutral	jabłko	apple	Impersonal	-o	*
jabłku	Dative	Singular	Neutral	jabłko	apple	Impersonal	-o	*
jabłka	Genitive	Singular	Neutral	jabłko	apple	Impersonal	-o	*
jabłku	Locative	Singular	Neutral	jabłko	apple	Impersonal	-o	*
ranie	Locative	Singular	Neutral	rano	morning	Impersonal	-o	n-
mięsie	Locative	Singular	Neutral	mięso	meat	Impersonal	-o	s-
warzywie	Locative	Singular	Neutral	warzywo	vegetable	Impersonal	-o	w-
zwierzęta	Accusative	Plural	Neutral	zwierzę	animal	Impersonal	-ę	-ę
zwierząt	Genitive	Plural	Neutral	zwierzę	animal		-ę	-ę
zwierzęta	Nominative	Plural	Neutral	zwierzę	animal	Impersonal	-ę	-ę
jedzenia	Accusative	Plural	Neutral	jedzenie	food	Impersonal	-e	*
jedzeniom	Dative	Plural	Neutral	jedzenie	food	Impersonal	-e	*
jedzeniami	Instrumental	Plural	Neutral	jedzenie	food	Impersonal	-e	*
jedzeniach	Locative	Plural	Neutral	jedzenie	food	Impersonal	-e	*
jedzenia	Nominative	Plural	Neutral	jedzenie	food	Impersonal	-e	*
słońca	Accusative	Plural	Neutral	słońce	sun	Impersonal	-e	*
